CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
755,1,1,15,59,59,15,1,14,0,507,59
1353,2,1,0,59,59,15,2,28,0,507,118
2943,3,1,19,150,150,34,4,59,0,488,268
4748,4,2,4,172,172,38,4,92,0,484,440
12985,5,2,116,351,351,154,15,225,3,368,791
15837,6,2,11,160,160,165,28,259,3,357,951
17804,7,2,0,109,109,165,29,280,3,357,1060
18913,8,2,1,56,56,166,41,295,3,356,1116
21286,9,2,4,111,111,170,60,315,3,352,1227
21821,10,2,2,56,56,172,62,328,3,350,1283
26937,11,2,2,171,171,174,70,377,4,348,1454
29872,12,2,0,160,160,174,70,420,4,348,1614
30480,13,2,0,59,59,174,71,434,4,348,1673
34219,14,2,4,160,160,178,94,478,4,344,1833
42187,15,2,17,284,284,195,113,527,9,327,2117
45463,16,2,1,162,162,196,114,558,9,326,2279
47177,17,2,0,134,134,196,116,584,9,326,2413
51133,18,2,0,150,150,196,144,615,9,326,2563
51807,19,2,0,59,59,196,145,629,9,326,2622
54739,20,2,0,132,132,196,150,656,9,326,2754
64833,21,2,0,351,351,196,161,788,12,326,3105
65622,22,2,3,65,65,199,161,805,12,323,3170
71418,23,2,6,179,179,205,169,859,13,317,3349
76531,24,2,0,175,175,205,171,908,13,317,3524
89401,25,2,3,354,354,208,181,1044,16,314,3878
94231,26,2,0,172,172,208,192,1084,16,314,4050
104583,27,2,0,284,284,208,209,1134,21,314,4334
105369,28,2,2,56,56,210,211,1147,21,312,4390
111993,29,3,2,186,186,212,222,1207,22,310,4576
117754,30,3,2,147,147,214,253,1236,23,308,4723
122828,31,3,6,203,203,220,257,1267,26,302,4926
127144,32,3,1,197,197,221,262,1297,28,301,5123
130071,33,3,1,145,145,222,267,1322,29,300,5268
136239,34,3,0,252,252,222,286,1364,31,300,5520
139534,35,3,2,145,145,224,292,1390,32,298,5665
150646,36,3,11,373,373,235,308,1530,35,287,6038
153908,37,3,6,168,168,241,314,1578,35,281,6206
157053,38,3,0,147,147,241,322,1608,35,281,6353
162923,39,3,4,228,228,245,330,1637,37,277,6581
167956,40,3,0,171,171,245,337,1689,38,277,6752
171808,41,3,2,145,145,247,344,1715,39,275,6897
172518,42,3,41,123,123,288,392,1738,39,234,7020
181617,43,4,4,299,299,292,407,1801,44,230,7319
187097,44,4,2,171,171,294,414,1852,45,228,7490
205199,45,4,14,402,402,308,513,1931,52,214,7892
208159,46,4,2,145,145,310,521,1957,53,212,8037
215253,47,5,0,303,303,310,527,2018,58,212,8340
225524,48,5,1,306,306,311,555,2079,64,211,8646
233545,49,5,2,279,279,313,558,2127,69,209,8925
245742,50,5,0,305,305,313,577,2194,75,209,9230
257717,51,7,0,305,305,313,604,2253,81,209,9535
261691,52,8,0,129,129,313,623,2277,81,209,9664
267758,53,9,0,202,202,313,630,2307,83,209,9866
272520,54,11,0,171,171,313,638,2358,84,209,10037
287944,55,12,2,356,356,315,650,2492,87,207,10393
289497,56,15,0,60,60,315,650,2507,87,207,10453
293749,57,39,1,169,169,316,650,2555,88,206,10622
328136,58,269,8,191,191,324,658,2604,98,198,10813
633309,59,612,3,437,437,327,669,2764,112,195,11250
2016377,60,2764,6,405,405,333,669,2825,192,189,11655
3100245,61,6449,0,193,193,333,677,2876,202,189,11848
