CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
4427,1,1,163,313,313,163,55,108,0,1318,313
5513,2,1,32,105,105,195,56,172,0,1286,418
9688,3,1,6,313,313,201,114,280,0,1280,731
11519,4,1,110,194,194,311,159,350,0,1170,925
12100,5,1,7,61,61,318,175,359,0,1163,986
12885,6,1,6,88,88,324,190,386,0,1157,1074
14487,7,1,33,151,151,357,198,454,0,1124,1225
15081,8,1,44,54,54,401,209,487,0,1080,1279
15252,9,1,9,17,17,410,210,495,0,1071,1296
15420,10,1,5,17,17,415,212,505,0,1066,1313
15465,11,1,1,7,7,416,213,505,0,1065,1320
19249,12,1,107,253,253,523,253,587,0,958,1573
20467,13,1,13,99,99,536,264,639,0,945,1672
25192,14,1,27,300,300,563,299,751,0,918,1972
25192,15,1,0,0,0,563,299,751,0,918,1972
27988,16,1,18,59,59,581,306,767,0,900,2031
27988,17,1,0,0,0,581,306,767,0,900,2031
31050,18,1,18,65,65,599,311,785,0,882,2096
36125,19,1,6,104,104,605,324,813,0,876,2200
37887,20,1,4,36,36,609,326,820,0,872,2236
40932,21,1,0,61,61,609,330,836,0,872,2297
42551,22,2,0,121,121,609,343,906,0,872,2418
45390,23,2,49,236,236,658,389,962,0,823,2654
47283,24,2,0,151,151,658,397,1030,0,823,2805
47549,25,2,0,35,35,658,402,1056,0,823,2840
49447,26,2,1,129,129,659,429,1116,0,822,2969
53331,27,2,3,72,72,662,433,1136,0,819,3041
55454,28,2,9,40,40,671,441,1144,0,810,3081
61179,29,3,1,102,102,672,453,1171,0,809,3183
61455,30,4,0,17,17,672,454,1182,0,809,3200
100769,31,7,19,260,260,691,459,1240,2,790,3460
100846,32,9,5,6,6,696,462,1242,2,785,3466
103224,33,13,0,146,146,696,491,1320,2,785,3612
104296,34,14,0,95,95,696,510,1350,2,785,3707
107394,35,15,6,105,105,702,514,1404,3,779,3812
111741,36,15,123,348,348,825,545,1542,3,656,4160
117088,37,19,0,300,300,825,584,1651,3,656,4460
121490,38,21,12,284,284,837,625,1751,3,644,4744
126284,39,27,0,239,239,837,625,1881,4,644,4983
129983,40,79,1,64,64,838,630,1898,4,643,5047
174340,41,149,14,271,271,852,649,1957,7,629,5318
