CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
20527,1,1,166,440,440,166,19,133,14,583,440
31892,2,1,10,253,253,176,21,213,26,573,693
47547,3,2,29,431,431,205,34,364,34,544,1124
65268,4,2,5,413,413,210,47,488,48,539,1537
81889,5,2,7,419,419,217,62,603,61,532,1956
103742,6,2,42,493,493,259,101,760,74,490,2449
123839,7,2,10,414,414,269,114,889,86,480,2863
147278,8,2,43,452,452,312,140,1025,97,437,3315
168455,9,2,6,416,416,318,148,1156,110,431,3731
192631,10,3,0,421,421,318,163,1291,119,431,4152
215897,11,3,8,403,403,326,174,1411,130,423,4555
236998,12,3,7,446,446,333,201,1550,144,416,5001
254417,13,5,17,451,451,350,240,1694,156,399,5452
276941,14,6,37,526,526,387,362,1759,171,362,5978
303561,15,7,77,597,597,464,428,1977,187,285,6575
321852,16,37,0,421,421,464,444,2109,200,285,6996
