CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
10594,1,4,43,125,125,43,1,12,30,246,125
19623,2,4,1,120,120,44,1,19,60,245,245
29917,3,5,5,125,125,49,2,31,90,240,370
30010,4,7,3,13,13,52,4,33,90,237,383
30102,5,7,0,13,13,52,6,35,90,237,396
30247,6,7,3,17,17,55,6,38,90,234,413
30268,7,7,1,3,3,56,7,38,90,233,416
30529,8,8,30,35,35,86,24,51,90,203,451
30899,9,16,8,28,28,94,33,51,90,195,479
30920,10,16,3,5,5,97,36,52,90,192,484
36116,11,19,0,111,111,97,36,54,112,192,595
36131,12,31,1,1,1,98,37,54,112,191,596
55598,13,36,0,125,125,98,38,66,142,191,721
75002,14,36,0,125,125,98,39,78,172,191,846
89388,15,39,15,133,133,113,53,86,203,176,979
112874,16,55,3,129,129,116,54,96,233,173,1108
137866,17,75,0,125,125,116,55,108,263,173,1233
178561,18,116,12,134,134,128,62,120,293,161,1367
232817,19,128,31,168,168,159,87,137,323,130,1535
288880,20,146,0,125,125,159,88,149,353,130,1660
507260,21,1084,3,136,136,162,95,163,381,127,1796
980811,22,2999,2,133,133,164,95,174,410,125,1929
1787050,23,5334,1,134,134,165,95,192,441,124,2063
2616648,24,5603,1,122,122,166,95,199,472,123,2185
